,matrixSize,iterations,sched,numCores,averageRelaxTime,stdRelaxTime,Speedup,Efficiency,Speedup_errors
5,800,50,dynamic,2,0.030210333333333336,0.0007707976147880598,1.3037150643819444,0.6518575321909722,0.03326346819484055
20,800,50,dynamic,4,0.019390333333333332,1.7025036030852805e-05,2.0312011139571267,0.5078002784892817,0.0017834284515151073
8,3200,50,dynamic,2,0.37740966666666664,0.0016676594598640554,1.5886812650091104,0.7943406325045552,0.007019903235921101
23,3200,50,dynamic,4,0.28726333333333337,0.01064836117107367,2.0872265865233985,0.5218066466308496,0.07736992494401788
11,6400,50,dynamic,2,1.4596543333333332,0.006438028793096582,1.7062251953259253,0.8531125976629627,0.0075255673101246685
26,6400,50,dynamic,4,1.0127396666666666,0.008225346900260735,2.459169993999774,0.6147924984999436,0.01997307595735553
14,12800,50,dynamic,2,5.553617,0.00621306807373696,1.6929677241576675,0.8464838620788337,0.001893995159700628
29,12800,50,dynamic,4,3.9539603333333333,0.011015080534666388,2.3778929328324905,0.5944732332081226,0.00662441702744209
17,25600,50,dynamic,2,22.212352,0.027787125092188437,1.7468610558065472,0.8734305279032736,0.002185281715163207
32,25600,50,dynamic,4,15.976237333333332,0.016557337818309717,2.4287253536043285,0.6071813384010821,0.0025170648951000764
6,800,50,guided,2,0.020166,0.0005419208634313892,1.9530728288538468,0.9765364144269234,0.05248492084483102
21,800,50,guided,4,0.012229333333333333,0.0015882591681413917,3.2205898386393375,0.8051474596598344,0.4182673902672754
9,3200,50,guided,2,0.3368276666666667,0.0049566980571374,1.7800903132462393,0.8900451566231197,0.02619550313225479
24,3200,50,guided,4,0.24242966666666665,0.004696121386215878,2.4732272865394638,0.6183068216348659,0.047909052192281094
12,6400,50,guided,2,1.3362156666666667,0.00872926714924928,1.8638450828920579,0.9319225414460289,0.012176179384250679
27,6400,50,guided,4,0.9158746666666667,0.0030173298472999876,2.7192574384268005,0.6798143596067001,0.008958536500763234
15,12800,50,guided,2,5.078755666666667,0.007031189947233343,1.8512594325106009,0.9256297162553004,0.0025629420995817625
30,12800,50,guided,4,3.568884666666667,0.00893956245925731,2.634462923710806,0.6586157309277015,0.0065989652378167
18,25600,50,guided,2,21.018941666666667,0.018183210218546533,1.84604407215238,0.92302203607619,0.0015969884673061993
33,25600,50,guided,4,14.613791666666666,0.03132153483657093,2.6551557290345023,0.6637889322586256,0.005690758056525945
7,800,50,static,2,0.02104033333333333,0.00037503194925627694,1.8719126756546955,0.9359563378273478,0.033365776504886493
22,800,50,static,4,0.013905,0.0017476625023791698,2.832482320508211,0.7081205801270527,0.35600310249580275
10,3200,50,static,2,0.3374236666666666,0.0031142785978754825,1.776946094474701,0.8884730472373505,0.0164004654631052
25,3200,50,static,4,0.3026233333333333,0.04118192357045701,1.9812869683985594,0.49532174209963986,0.2696196873023625
13,6400,50,static,2,1.3566246666666666,0.011252209899821017,1.8358054819387528,0.9179027409693764,0.015226664475128908
28,6400,50,static,4,0.9179736666666667,0.009971392083058087,2.713039698669642,0.6782599246674105,0.029470107427558852
16,12800,50,static,2,5.161035333333333,0.016965488186533612,1.821745778915419,0.9108728894577095,0.005988489613981267
31,12800,50,static,4,3.6076713333333337,0.012670076701805373,2.606139380398103,0.6515348450995258,0.009152714533651945
19,25600,50,static,2,21.066467666666664,0.020489590540528745,1.841879392436666,0.920939696218333,0.0017914419813142137
34,25600,50,static,4,14.673214999999999,0.026336750381674996,2.644402925103099,0.6611007312757747,0.004746402185684019
